Id;ProductCode;Description;SalOrDisChDivID;RifCode;EanCode;OrdMinimumQty;DelMinimumQty;DelQty;TotDelMinimumQty;Unit;HierarchyID;OldProductCode;Type;Plant;Magazzino;IsDeleted;CreatedOn;CreatedUser;ModifiedOn;ModifiedUser
2;0013R00662;0013R00662;54;0013R00662;NULL;0;0;1;0;ST;823;0013R00662;NULL;IP04;ILIT;0;2024-03-12 17:24:59.720;0;NULL;NULL
3;001R00613;001R00613;54;001R00613;NULL;0;0;1;0;ST;823;001R00613;NULL;IP04;ILIT;0;2024-03-12 17:24:59.720;0;NULL;NULL
4;006R01159;006R01159;54;006R01159;NULL;0;0;1;0;ST;823;006R01159;NULL;IP04;ILIT;0;2024-03-12 17:24:59.720;0;NULL;NULL
5;006R01513;006R01513;54;006R01513;NULL;0;0;1;0;ST;823;006R01513;NULL;IP04;ILIT;0;2024-03-12 17:24:59.720;0;NULL;NULL
6;006R01514;006R01514;54;006R01514;NULL;0;0;1;0;ST;823;006R01514;NULL;IP04;ILIT;0;2024-03-12 17:24:59.720;0;NULL;NULL
7;006R01515;006R01515;54;006R01515;NULL;0;0;1;0;ST;823;006R01515;NULL;IP04;ILIT;0;2024-03-12 17:24:59.720;0;NULL;NULL
8;006R01516;006R01516;54;006R01516;NULL;0;0;1;0;ST;823;006R01516;NULL;IP04;ILIT;0;2024-03-12 17:24:59.720;0;NULL;NULL
9;006R01551;006R01551;54;006R01551;NULL;0;0;1;0;ST;823;006R01551;NULL;IP04;ILIT;0;2024-03-12 17:24:59.720;0;NULL;NULL
10;006R01605;006R01605;54;006R01605;8,02033E+12;0;0;1;0;ST;823;006R01605;NULL;IP04;ILIT;0;2024-03-12 17:24:59.720;0;NULL;NULL
21;008R13061;008R13061;54;008R13061;NULL;0;0;1;0;ST;823;008R13061;NULL;IP04;ILIT;0;2024-03-12 17:24:59.720;0;NULL;NULL
22;008R13064;008R13064;54;008R13064;NULL;0;0;1;0;ST;823;008R13064;NULL;IP04;ILIT;0;2024-03-12 17:24:59.720;0;NULL;NULL
39;013R00591;013R00591;54;013R00591;NULL;0;0;1;0;ST;823;013R00591;NULL;IP04;ILIT;0;2024-03-12 17:24:59.720;0;NULL;NULL
40;013R00662;013R00662;54;013R00662;NULL;0;0;1;0;ST;823;013R00662;NULL;IP04;ILIT;0;2024-03-12 17:24:59.720;0;NULL;NULL
41;013R00669;013R00669;54;013R00669;8,02033E+12;0;0;1;0;ST;823;013R00669;NULL;IP04;ILIT;0;2024-03-12 17:24:59.720;0;NULL;NULL
11185;109R00751;109R00751;54;109R00751;NULL;0;0;1;0;ST;823;109R00751;NULL;IP04;ILIT;0;2024-03-12 17:24:59.720;0;NULL;NULL
11186;109R00772;109R00772;54;109R00772;NULL;0;0;1;0;ST;823;109R00772;NULL;IP04;ILIT;0;2024-03-12 17:24:59.720;0;NULL;NULL
11187;109R00848;109R00848;54;109R00848;NULL;0;0;1;0;ST;823;109R00848;NULL;IP04;ILIT;0;2024-03-12 17:24:59.720;0;NULL;NULL
11219;113R00673;113R00673;54;113R00673;NULL;0;0;1;0;ST;823;113R00673;NULL;IP04;ILIT;0;2024-03-12 17:24:59.720;0;NULL;NULL
